1,Rock
2,Indie
3,Metal
4,Pop
5,Jazz
6,Trap
9,"Rock, Blues"
19,"Jazz, Rock, Blues, Folk, World, & Country"
20,"Funk / Soul, Pop"
22,Blues
24,Funk / Soul
31,"Rock, Folk, World, & Country"
36,"Rock, Pop"
38,"Folk, World, & Country"
45,"Classical, Stage & Screen"
46,Reggae
48,Hip Hop
54,"Jazz, Funk / Soul"
58,"Rock, Funk / Soul, Pop"
63,"Electronic, Rock"
66,"Jazz, Rock, Funk / Soul, Folk, World, & Country"
71,"Jazz, Rock, Funk / Soul, Pop, Folk, World, & Country"
72,"Funk / Soul, Stage & Screen"
76,"Electronic, Rock, Funk / Soul, Stage & Screen"
89,"Rock, Funk / Soul"
93,"Rock, Reggae"
101,"Jazz, Pop"
105,"Funk / Soul, Folk, World, & Country"
107,"Latin, Funk / Soul"
119,"Funk / Soul, Blues"
122,"Reggae,�Pop,�Folk, World, & Country,�Stage & Screen"
132,"Electronic,�Stage & Screen"
143,"Jazz, Rock, Funk / Soul, Blues"
145,"Jazz, Rock"
149,"Rock, Latin, Funk / Soul"
152,"Electronic, Rock, Pop"
156,"Hip Hop, Rock, Funk / Soul"
179,"Electronic, Pop"
180,"Rock, Blues, Pop"
187,"Electronic, Rock, Funk / Soul, Pop"
190,"Rock, Funk / Soul, Folk, World, & Country"
195,"Rock,�Blues"
202,"Rock, Pop, Folk, World, & Country"
207,"Rock, Latin"
208,"Rock, Stage & Screen"
245,"Rock, Blues, Folk, World, & Country"
256,Electronic
259,"Electronic, Funk / Soul, Pop"
260,"Pop, Folk, World, & Country"
277,"Electronic, Hip Hop, Pop"
278,"Blues, Folk, World, & Country"
306,"Electronic, Hip Hop, Funk / Soul, Pop"
311,"Rock, Funk / Soul, Blues, Pop, Folk, World, & Country"
339,"Jazz, Pop, Folk, World, & Country"
354,"Jazz, Rock, Pop"
361,"Hip Hop, Funk / Soul"
365,"Hip Hop, Rock"
379,"Electronic, Hip Hop, Funk / Soul"
388,"Funk / Soul,�Folk, World, & Country"
393,"Electronic, Hip Hop, Reggae, Pop"
397,"Electronic, Reggae"
400,"Electronic, Funk / Soul"
408,"Rock, Funk / Soul, Blues"
421,"Rock,�Pop"
472,"Electronic, Rock, Funk / Soul, Blues, Pop"
474,"Rock, Reggae, Latin"
